x,y,
39,120,#N/A
40,120,#N/A
41,120,#N/A
42,121,#N/A
43,121,#N/A
44,121,#N/A
47,121,#N/A
48,121,#N/A
49,121,#N/A
51,122,#N/A
52,122,#N/A
52,121,#N/A
53,118,#N/A
54,113,#N/A
57,108,#N/A
58,108,#N/A
58,109,#N/A
58,110,#N/A
58,112,#N/A
59,114,#N/A
59,115,#N/A
61,116,#N/A
64,118,#N/A
62,119,#N/A
64,119,#N/A
67,119,#N/A
69,121,#N/A
73,122,#N/A
74,124,#N/A
74,125,#N/A
74,124,#N/A
73,124,#N/A
73,122,#N/A
73,121,#N/A
73,119,#N/A
73,118,#N/A
74,117,#N/A
75,117,#N/A
76,117,#N/A
78,119,#N/A
79,121,#N/A
79,123,#N/A
81,123,#N/A
82,124,#N/A
83,126,#N/A
84,126,#N/A
85,125,#N/A
87,124,#N/A
89,123,#N/A
90,123,119.54
91,124,119.62
92,126,119.74
92,123,119.8
94,121,119.8
96,119,119.76
98,119,119.72
99,119,119.68
100,122,119.7
101,124,119.76
102,126,119.84
103,126,119.92
104,125,120
106,123,120.1
108,123,120.3
109,123,120.6
111,123,120.9
112,123,121.18
113,121,121.4
113,120,121.56
113,119,121.66
113,116,121.68
113,115,121.66
113,114,121.58
114,112,121.44
115,112,121.3
116,113,121.18
116,114,121.04
118,118,120.96
119,122,120.92
121,125,120.92
123,125,120.94
125,123,120.92
126,121,120.9
127,119,120.86
128,117,120.82
129,117,120.8
129,118,120.82
129,119,120.86
129,121,120.94
129,122,121
130,124,121.06
132,125,121.1
132,127,121.18
132,128,121.26
132,129,121.32
132,131,121.42
133,135,121.62
133,136,121.86
134,137,122.14
134,139,122.46
134,141,122.8
134,144,123.16
135,146,123.62
135,147,124.14
135,148,124.72
137,151,125.36
137,152,126.02
137,153,126.64
139,155,127.26
139,157,127.88
140,158,128.52
141,158,129.18
141,160,129.92
141,162,130.7
142,164,131.52
142,165,132.36
142,166,133.22
143,167,134.14
144,168,135.1
144,169,136.1
144,171,137.2
144,173,138.36
144,176,139.6
145,178,140.92
146,179,142.26
146,181,143.62
146,184,145.02
146,189,146.44
146,191,147.82
148,194,149.2
148,196,150.62
148,198,152.12
148,200,153.7
149,202,155.36
151,204,157.1
153,208,158.92
153,210,160.76
154,211,162.6
155,212,164.42
156,213,166.24
156,217,168.1
156,218,169.96
156,220,171.82
156,222,173.7
156,224,175.6
156,225,177.48
156,226,179.3
156,227,181.12
156,229,182.96
156,232,184.82
156,234,186.68
156,236,188.52
156,238,190.36
156,242,192.26
156,245,194.2
156,248,196.14
156,250,198.1
156,252,200.08
156,256,202.1
157,256,204.08
158,256,206.04
160,256,208
163,255,209.9
164,253,211.72
167,250,213.44
169,248,215.1
169,247,216.72
171,246,218.3
172,246,219.86
172,248,221.44
173,250,223.02
173,251,224.58
173,252,226.1
174,253,227.6
175,255,229.12
176,257,230.64
178,254,232.04
178,251,233.28
180,247,234.4
180,249,235.5
180,250,236.58
181,253,237.68
181,255,238.78
183,253,239.8
183,251,240.74
185,249,241.56
186,246,242.28
187,246,242.98
188,247,243.68
188,249,244.4
190,250,245.06
193,248,245.66
194,248,246.22
195,249,246.76
196,250,247.28
197,251,247.8
198,251,248.3
199,249,248.74
201,248,249.12
202,247,249.42
204,247,249.68
206,249,249.94
208,252,250.22
210,253,250.44
211,253,250.6
212,251,250.66
213,249,250.64
215,249,250.58
216,250,250.46
217,248,250.3
218,248,250.14
219,248,249.98
219,251,249.9
219,253,249.9
220,252,249.94
221,252,250.02
223,252,250.12
223,254,250.28
224,254,250.44
225,254,250.56
226,251,250.58
227,248,250.52
229,248,250.44
231,248,250.34
231,249,250.22
233,250,250.08
234,250,250
234,253,250.04
235,253,250.16
236,252,250.22
237,252,250.26
237,253,250.26
239,254,250.24
240,257,250.32
241,259,250.48
242,261,250.72
243,261,251.02
243,263,251.36
245,264,251.7
245,265,252.02
245,266,252.34
246,267,252.72
248,267,253.1
248,261,253.34
248,260,253.54
248,256,253.64
250,253,253.68
250,252,253.74
251,252,253.82
251,254,253.96
251,256,254.14
251,258,254.32
251,257,254.42
252,255,254.46
252,251,254.42
253,251,254.42
255,251,254.46
255,253,254.54
255,254,254.62
255,256,254.78
259,255,254.92
260,252,255
260,249,254.96
266,240,254.7
270,231,254.28
272,229,253.82
272,230,253.38
272,232,252.94
272,234,252.54
272,236,252.18
272,241,251.98
272,244,251.9
272,245,251.84
272,247,251.82
273,249,251.82
274,250,251.82
275,254,251.9
276,255,251.94
277,254,251.96
279,252,251.96
279,249,251.9
280,247,251.78
281,247,251.64
